product_id,product_name,unit_profit,Material,Time,Energy
J090,Lathe,20,2.38,27,12.34
J091,Grinding,38,4.86,60,14.6
J092,Milling,98,4.85,90,8.14
J093,Lathe,79,1.63,86,9.92
J094,Lathe,59,4.43,51,7.61
J095,Lathe,111,3.43,113,9.22
J096,Milling,94,4.18,110,10.67
J097,Drilling,119,3.88,57,3.8
J098,Grinding,59,3.87,91,14.55
J099,Additive,79,1.79,33,3.17
J100,Grinding,20,2.71,27,12.24
J1000,Additive,227,1.32,111,3.88
J101,Additive,65,4.8,37,4.73
J102,Grinding,71,4.96,110,14.56
J103,Lathe,96,2.54,105,9.97
J104,Milling,66,3.6,62,8.45
J105,Grinding,29,1.85,43,13.65
J106,Grinding,109,4.58,107,8.8
J107,Grinding,72,3.86,103,13.37
J108,Lathe,49,3.28,78,14.78
J109,Lathe,166,3.19,102,5.14
J110,Additive,104,3.17,107,9.31
J111,Drilling,83,2.87,119,13.26
J112,Lathe,91,3.71,74,7.12
J113,Drilling,317,3.77,103,2.25
J114,Lathe,216,1.26,116,4.36
J115,Lathe,109,1.32,114,9.49
J116,Milling,115,2.11,77,5.69
J117,Grinding,105,1.57,67,5.41
J118,Lathe,52,1.14,68,12.12
J119,Drilling,77,1.09,58,6.55
J120,Lathe,51,1.22,33,5.5
J121,Additive,43,4.13,39,8.06
J122,Grinding,117,3.22,102,7.75
J123,Grinding,91,2.65,85,8.35
J124,Grinding,74,4.75,40,4.42
J125,Additive,166,2.43,76,3.58
J126,Milling,115,3.12,70,5.07
J127,Additive,34,4.22,27,6.94
J128,Grinding,36,3.24,40,10.06
J129,Grinding,51,2.07,45,7.75
J130,Milling,223,1.1,78,2.49
J131,Drilling,133,3.55,78,4.87
J132,Additive,60,4.64,70,10.68
J133,Drilling,113,4.42,85,6.51
J134,Lathe,51,2.8,71,13.03
J135,Drilling,25,4.64,23,8.31
J136,Drilling,217,4.7,78,2.59
J137,Lathe,71,2.86,91,11.79
J138,Grinding,52,4.14,65,11.48
J139,Additive,82,4.04,45,4.48
J140,Drilling,105,2.58,100,8.54
J141,Drilling,143,2.45,100,6.0
J142,Lathe,232,2.69,110,3.75
J143,Additive,62,4.02,33,4.28
J144,Milling,65,2.1,47,6.24
J145,Lathe,27,4.02,22,7.26
J146,Grinding,193,2.02,62,2.21
J147,Lathe,24,3.73,29,11.1
J148,Lathe,37,3.74,39,9.65
J149,Lathe,78,4.46,100,11.84
J150,Grinding,40,4.97,53,12.4
J151,Additive,14,4.41,20,13.63
J152,Milling,103,1.82,106,9.32
J153,Lathe,102,1.73,66,5.45
J154,Grinding,128,2.11,111,7.67
J155,Drilling,37,3.57,40,9.87
J156,Milling,44,4.14,69,14.55
J157,Grinding,64,1.01,59,8.16
J158,Drilling,130,3.55,113,7.69
J159,Milling,115,1.15,46,3.01
J160,Milling,112,4.25,118,9.57
J161,Milling,48,3.8,54,10.3
J162,Additive,46,2.25,58,11.7
J163,Milling,38,4.4,43,10.4
J164,Additive,107,4.35,56,4.22
J165,Milling,35,3.28,29,7.32
J166,Additive,49,3.71,61,11.52
J167,Grinding,43,1.29,35,7.2
J168,Grinding,27,4.51,37,12.54
J169,Lathe,28,1.36,23,7.11
J170,Milling,325,3.54,102,2.14
J171,Drilling,49,2.58,72,13.69
J172,Lathe,64,3.08,81,11.61
J173,Additive,49,1.85,64,12.14
J174,Additive,84,2.44,113,12.49
J175,Lathe,44,4.82,40,8.16
J176,Milling,276,2.39,100,2.62
J177,Drilling,96,3.51,97,9.08
J178,Drilling,71,4.43,82,10.58
J179,Lathe,63,1.58,95,14.17
J180,Additive,145,3.46,69,3.76
J181,Drilling,128,3.55,95,6.4
J182,Milling,109,1.49,79,6.22
J183,Drilling,80,4.11,106,12.25
J184,Additive,83,3.52,89,9.7
J185,Grinding,71,2.0,50,6.07
J186,Milling,53,1.25,70,12.13
J187,Additive,97,1.27,110,10.29
J188,Grinding,88,2.61,90,9.18
J189,Drilling,40,3.38,50,11.6
J190,Milling,44,1.94,50,10.25
J191,Milling,167,4.16,114,5.81
J192,Drilling,126,1.04,100,6.93
J193,Drilling,53,4.82,80,14.08
J194,Lathe,58,4.81,57,8.84
J195,Drilling,106,2.53,88,7.32
J196,Drilling,57,1.48,56,8.84
J197,Drilling,20,1.01,21,9.75
J198,Milling,214,2.33,74,2.46
J199,Lathe,105,4.52,90,7.61
J200,Lathe,94,2.04,84,7.96
J201,Additive,51,2.14,52,9.24
J202,Drilling,74,4.62,82,10.12
J203,Additive,127,1.91,61,3.81
J204,Grinding,163,1.66,113,5.93
J205,Milling,80,1.02,89,10.18
J206,Grinding,218,2.5,89,3.08
J207,Milling,46,3.41,21,3.53
J208,Grinding,33,3.27,20,5.06
J209,Grinding,82,2.34,106,11.95
J210,Drilling,66,1.1,76,10.49
J211,Milling,27,1.66,25,8.39
J212,Milling,182,1.45,96,4.27
J213,Grinding,97,1.04,53,4.49
J214,Grinding,64,2.39,36,4.59
J215,Milling,61,4.79,43,6.1
J216,Lathe,37,3.51,42,10.46
J217,Grinding,190,3.35,109,4.75
J218,Additive,60,2.58,71,10.74
J219,Additive,88,1.46,107,11.19
J220,Milling,134,1.62,70,4.22
J221,Drilling,83,1.66,95,10.49
J222,Lathe,287,1.27,119,3.14
J223,Additive,49,2.39,58,10.74
J224,Drilling,80,3.61,85,9.63
J225,Milling,16,4.52,22,13.02
J226,Grinding,118,3.11,105,7.9
J227,Drilling,137,3.25,109,6.97
J228,Lathe,81,4.66,77,8.47
J229,Milling,40,4.49,59,13.77
J230,Milling,54,2.36,65,11.13
J231,Additive,23,3.44,36,14.64
J232,Grinding,85,3.62,106,11.48
J233,Milling,263,3.03,88,2.35
J234,Grinding,101,4.31,111,9.95
J235,Lathe,71,4.37,56,6.94
J236,Lathe,29,4.49,26,7.84
J237,Grinding,116,3.53,83,6.17
J238,Additive,116,4.1,95,7.18
J239,Lathe,235,4.42,89,2.79
J240,Grinding,21,3.88,22,9.51
J241,Milling,90,2.65,95,9.52
J242,Lathe,90,4.51,102,10.33
J243,Lathe,103,2.34,56,4.43
J244,Grinding,35,3.75,42,10.91
J245,Additive,65,2.86,25,2.84
J246,Milling,100,1.69,40,3.02
J247,Milling,62,4.81,84,12.46
J248,Drilling,75,4.07,51,5.84
J249,Milling,142,1.48,67,3.71
J250,Milling,107,1.32,79,6.4
J251,Milling,22,1.02,21,8.57
J252,Milling,27,4.59,38,13.14
J253,Milling,39,4.49,43,9.9
J254,Milling,25,1.32,38,14.38
J255,Grinding,30,1.82,38,11.78
J256,Grinding,102,1.73,60,4.89
J257,Additive,197,2.86,120,5.09
J258,Drilling,27,1.58,28,9.23
J259,Lathe,29,2.91,24,7.41
J260,Milling,85,4.35,47,4.55
J261,Drilling,182,3.48,104,4.72
J262,Grinding,218,4.82,114,4.24
J263,Lathe,24,3.65,38,14.87
J264,Grinding,48,2.61,72,13.92
J265,Milling,136,2.77,97,6.15
J266,Milling,72,2.68,96,12.26
J267,Drilling,109,4.42,101,8.25
J268,Lathe,132,4.24,105,6.98
J269,Grinding,50,1.49,25,4.0
J270,Drilling,49,4.32,75,14.44
J271,Grinding,25,1.78,21,7.47
J272,Lathe,37,3.17,55,13.68
J273,Milling,121,3.08,78,5.42
J274,Lathe,38,2.17,20,4.29
J275,Additive,60,3.21,94,14.67
J276,Milling,149,2.96,78,4.23
J277,Lathe,57,2.0,76,12.37
J278,Additive,38,2.08,58,14.2
J279,Milling,186,2.15,64,2.45
J280,Drilling,62,2.62,66,9.66
J281,Lathe,61,4.82,59,8.66
J282,Lathe,27,3.17,30,10.21
J283,Additive,35,1.52,37,9.47
J284,Grinding,48,3.32,71,13.8
J285,Additive,74,3.25,106,13.31
J286,Additive,139,3.22,107,6.69
J287,Lathe,145,3.31,95,5.56
J288,Additive,48,2.97,36,6.56
J289,Grinding,150,1.49,97,5.47
J290,Grinding,69,3.82,81,10.72
J291,Milling,19,5.0,26,12.76
J292,Additive,86,2.41,93,9.8
J293,Drilling,73,1.8,103,13.09
J294,Drilling,116,4.27,90,6.74
J295,Additive,33,2.46,39,10.97
J296,Additive,53,2.96,76,13.25
J297,Grinding,259,2.14,79,2.05
J298,Additive,200,2.19,116,4.79
J299,Drilling,47,1.42,23,3.92
J300,Additive,28,3.42,20,6.24
J301,Drilling,143,3.16,87,5.09
J302,Drilling,33,2.25,52,14.65
J303,Additive,51,1.5,38,6.46
J304,Drilling,107,1.07,75,6.02
J305,Additive,66,4.33,89,12.46
J306,Lathe,74,2.92,77,9.46
J307,Lathe,112,3.25,89,6.97
J308,Additive,113,1.25,50,3.41
J309,Additive,57,3.07,71,11.53
J310,Grinding,54,2.35,50,8.24
J311,Milling,60,3.76,85,13.06
J312,Drilling,121,2.86,95,6.84
J313,Milling,104,2.52,59,4.65
J314,Grinding,98,4.39,113,10.52
J315,Grinding,90,4.4,51,4.67
J316,Milling,69,3.4,105,14.25
J317,Additive,123,4.77,70,4.67
J318,Drilling,78,3.6,87,10.22
J319,Milling,20,3.45,23,10.48
J320,Grinding,105,2.91,39,2.7
J321,Additive,62,4.49,70,10.34
J322,Lathe,70,3.62,80,10.42
J323,Grinding,131,2.23,90,5.88
J324,Lathe,17,3.12,21,11.65
J325,Grinding,191,3.95,112,4.85
J326,Additive,105,3.87,60,4.74
J327,Grinding,59,2.87,73,11.29
J328,Milling,39,2.3,57,13.77
J329,Additive,203,4.25,74,2.64
J330,Additive,56,4.14,54,8.66
J331,Additive,40,4.45,27,5.78
J332,Grinding,108,1.19,114,9.52
J333,Lathe,49,1.15,61,11.45
J334,Milling,107,2.7,67,5.28
J335,Additive,42,2.63,59,13.01
J336,Grinding,22,4.69,25,10.4
J337,Lathe,55,2.15,78,13.17
J338,Additive,47,2.04,71,13.97
J339,Lathe,59,1.8,74,11.52
J340,Drilling,74,2.2,58,6.8
J341,Grinding,65,1.18,96,13.66
J342,Grinding,197,1.92,118,5.0
J343,Grinding,88,4.88,100,10.38
J344,Lathe,59,3.32,94,14.98
J345,Lathe,53,3.07,37,6.03
J346,Drilling,20,3.59,29,13.78
J347,Lathe,47,4.02,73,14.45
J348,Drilling,94,1.74,92,8.79
J349,Grinding,76,3.27,86,10.39
J350,Additive,65,2.11,77,10.81
J351,Additive,47,2.12,51,9.83
J352,Lathe,62,2.46,93,14.04
J353,Additive,52,2.46,36,5.98
J354,Grinding,42,1.3,61,13.62
J355,Drilling,126,4.99,87,5.88
J356,Lathe,91,2.22,101,10.12
J357,Additive,94,2.75,116,11.31
J358,Grinding,67,4.12,66,8.79
J359,Grinding,100,2.73,90,7.96
J360,Additive,32,1.81,29,8.0
J361,Drilling,153,4.31,83,4.43
J362,Drilling,37,1.25,50,12.64
J363,Milling,280,4.13,118,3.21
J364,Additive,155,2.57,115,6.41
J365,Additive,101,4.36,106,9.52
J366,Drilling,35,1.15,47,12.4
J367,Drilling,28,3.64,38,12.38
J368,Grinding,63,3.79,63,8.96
J369,Grinding,109,1.6,76,5.98
J370,Milling,31,4.43,47,14.26
J371,Lathe,59,2.29,32,4.38
J372,Lathe,78,4.54,78,9.06
J373,Grinding,188,1.1,95,4.05
J374,Milling,57,3.88,48,7.49
J375,Additive,84,1.59,110,12.16
J376,Drilling,37,3.87,52,13.19
J377,Milling,86,2.39,61,6.11
J378,Grinding,109,1.78,63,4.78
J379,Additive,77,4.05,47,5.13
J380,Lathe,81,3.25,46,4.7
J381,Additive,101,1.33,89,7.85
J382,Lathe,46,3.53,72,14.49
J383,Lathe,139,1.09,65,3.68
J384,Grinding,40,2.66,50,11.62
J385,Milling,127,4.75,59,3.65
J386,Grinding,113,2.75,73,5.47
J387,Grinding,77,3.21,42,4.47
J388,Milling,19,1.2,24,11.46
J389,Additive,71,4.56,71,9.02
J390,Grinding,62,3.63,76,11.35
J391,Lathe,60,2.59,35,4.83
J392,Milling,81,2.92,96,10.86
J393,Grinding,223,2.96,69,2.09
J394,Milling,63,2.5,74,10.7
J395,Lathe,47,2.89,66,13.0
J396,Milling,85,1.98,67,6.88
J397,Lathe,24,4.28,23,8.52
J398,Grinding,55,4.09,82,13.87
J399,Additive,61,4.76,80,12.18
J400,Grinding,74,4.34,24,2.23
J401,Grinding,54,4.27,49,8.1
J402,Milling,96,2.94,113,10.78
J403,Grinding,90,2.07,113,11.6
J404,Milling,73,1.16,89,11.11
J405,Drilling,110,3.04,100,8.05
J406,Drilling,193,1.32,87,3.5
J407,Drilling,93,4.92,120,11.91
J408,Drilling,63,1.42,54,7.62
J409,Grinding,23,2.94,31,12.64
J410,Milling,247,3.4,93,2.77
J411,Grinding,73,2.37,96,12.16
J412,Lathe,117,4.53,46,2.94
J413,Grinding,42,1.53,22,4.23
J414,Grinding,101,3.26,31,2.08
J415,Lathe,40,1.15,33,7.35
J416,Additive,82,3.38,107,11.97
J417,Drilling,63,4.98,50,6.94
J418,Grinding,44,1.35,40,8.17
J419,Lathe,30,1.3,43,13.53
J420,Additive,87,3.69,115,12.24
J421,Milling,90,4.3,96,9.69
J422,Additive,163,1.49,119,6.31
J423,Grinding,75,3.04,105,12.92
J424,Milling,64,1.35,64,8.93
J425,Drilling,96,4.96,110,10.48
J426,Milling,91,4.02,74,7.11
J427,Milling,57,3.79,64,10.25
J428,Milling,31,3.22,37,11.13
J429,Drilling,42,4.36,60,13.16
J430,Lathe,32,3.39,44,12.69
J431,Grinding,152,2.09,48,2.15
J432,Lathe,78,3.14,105,12.39
J433,Milling,44,1.52,46,9.54
J434,Grinding,57,3.21,87,14.22
J435,Grinding,87,4.42,51,4.84
J436,Drilling,138,3.55,59,3.27
J437,Additive,45,4.6,57,11.57
J438,Drilling,73,4.6,109,14.03
J439,Drilling,142,3.4,115,7.11
J440,Lathe,268,3.57,98,2.65
J441,Drilling,107,2.83,62,4.8
J442,Drilling,210,2.77,97,3.62
J443,Lathe,83,2.1,109,12.1
J444,Grinding,36,4.32,56,14.6
J445,Lathe,92,3.54,56,5.06
J446,Lathe,53,2.2,62,10.68
J447,Milling,177,3.02,73,3.13
J448,Drilling,39,4.17,54,12.99
J449,Grinding,267,4.65,118,3.42
J450,Milling,171,4.11,95,4.55
J451,Grinding,109,4.92,109,9.01
J452,Drilling,125,1.82,110,7.81
J453,Additive,186,3.78,113,5.09
J454,Additive,69,4.44,55,6.99
J455,Grinding,319,3.88,107,2.35
J456,Drilling,87,4.58,75,7.59
J457,Additive,66,4.92,101,14.23
J458,Grinding,80,4.18,110,12.73
J459,Grinding,80,4.68,93,10.61
J460,Grinding,183,4.89,105,4.74
J461,Drilling,46,4.06,50,9.95
J462,Grinding,54,4.34,46,7.51
J463,Grinding,20,2.31,28,13.03
J464,Lathe,240,1.46,92,2.84
J465,Milling,81,4.19,28,2.46
J466,Milling,17,4.8,21,11.49
J467,Grinding,32,1.76,37,10.63
J468,Milling,40,1.8,42,9.42
J469,Additive,117,4.17,119,9.17
J470,Drilling,43,1.8,56,11.98
J471,Lathe,67,1.72,22,2.3
J472,Grinding,93,4.92,79,7.54
J473,Lathe,61,3.84,80,12.21
J474,Grinding,78,2.98,52,5.65
J475,Lathe,113,2.07,106,8.41
J476,Lathe,161,2.88,83,4.14
J477,Drilling,23,1.23,35,14.52
J478,Milling,39,3.89,34,7.69
J479,Milling,141,4.82,66,3.68
J480,Grinding,87,2.3,54,5.21
J481,Grinding,39,1.84,38,8.81
J482,Additive,104,2.88,73,5.99
J483,Milling,82,4.0,33,3.04
J484,Additive,142,1.43,111,6.81
J485,Lathe,34,3.38,34,9.0
J486,Grinding,58,2.91,53,8.12
J487,Lathe,98,3.23,100,9.22
J488,Milling,144,2.1,95,5.58
J489,Lathe,72,1.82,37,4.17
J490,Grinding,126,1.69,81,5.42
J491,Milling,24,3.67,36,13.87
J492,Additive,100,3.69,65,5.53
J493,Additive,92,4.47,100,9.82
J494,Milling,90,1.21,71,6.85
J495,Drilling,61,2.42,44,6.16
J496,Milling,41,3.58,38,8.37
J497,Drilling,21,4.94,23,10.07
J498,Drilling,106,2.27,97,8.17
J499,Grinding,72,4.3,69,8.55
J500,Additive,48,1.39,48,9.05
J501,Lathe,68,1.3,48,6.1
J502,Milling,77,3.91,91,10.83
J503,Additive,59,1.76,90,14.29
J504,Lathe,54,2.22,81,13.88
J505,Milling,51,1.28,74,13.58
J506,Milling,117,3.94,117,8.99
J507,Drilling,14,1.45,22,14.51
J508,Grinding,100,2.59,77,6.72
J509,Milling,102,3.39,103,9.13
J510,Drilling,40,4.26,61,14.14
J511,Grinding,73,1.93,74,9.07
J512,Additive,186,4.9,98,4.27
J513,Lathe,46,2.55,72,14.65
J514,Grinding,107,1.84,116,9.83
J515,Lathe,78,1.54,40,4.16
J516,Drilling,87,4.83,50,4.77
J517,Lathe,42,4.64,66,14.84
J518,Lathe,120,2.64,61,4.09
J519,Drilling,63,3.6,96,14.32
J520,Additive,45,3.26,34,6.56
J521,Milling,40,4.81,62,14.46
J522,Lathe,18,2.81,24,11.99
J523,Additive,65,1.32,52,6.94
J524,Additive,53,3.18,62,10.68
J525,Milling,83,2.66,92,10.02
J526,Grinding,71,3.61,76,9.64
J527,Milling,161,1.08,67,3.15
J528,Grinding,35,3.58,28,7.02
J529,Drilling,97,4.91,102,9.47
J530,Milling,80,1.4,87,9.93
J531,Grinding,91,1.21,90,8.86
J532,Additive,185,4.5,106,4.73
J533,Drilling,142,1.54,112,6.86
J534,Lathe,131,3.14,61,3.66
J535,Drilling,57,4.9,45,6.96
J536,Grinding,125,2.32,100,6.97
J537,Lathe,32,3.05,48,13.96
J538,Lathe,237,1.12,75,2.16
J539,Drilling,100,2.94,116,10.59
J540,Lathe,130,3.88,60,3.62
J541,Additive,97,1.81,53,4.45
J542,Drilling,33,3.57,47,13.17
J543,Lathe,199,2.12,87,3.37
J544,Lathe,132,1.3,89,5.76
J545,Lathe,65,4.19,50,6.67
J546,Lathe,111,2.77,95,7.55
J547,Lathe,135,2.75,100,6.39
J548,Additive,34,2.81,21,5.14
J549,Additive,39,1.61,61,14.7
J550,Lathe,43,2.98,31,6.28
J551,Drilling,140,3.36,85,5.05
J552,Additive,54,4.76,68,11.58
J553,Lathe,47,3.11,63,12.39
J554,Milling,117,1.42,93,6.97
J555,Additive,28,1.61,37,12.3
J556,Additive,57,3.93,36,5.37
J557,Drilling,78,3.61,44,4.66
J558,Drilling,57,4.07,56,8.89
J559,Lathe,107,1.78,114,9.67
J560,Grinding,60,2.66,79,12.1
J561,Milling,47,1.65,44,8.3
J562,Lathe,94,3.38,108,10.49
J563,Milling,94,1.36,80,7.48
J564,Grinding,84,2.72,112,12.39
J565,Milling,75,3.16,110,13.71
J566,Grinding,152,2.91,108,6.09
J567,Milling,105,3.42,88,7.35
J568,Grinding,213,2.7,74,2.47
J569,Grinding,46,3.08,52,10.42
J570,Grinding,47,3.17,67,13.2
J571,Drilling,91,4.71,85,8.37
J572,Additive,72,1.44,90,11.44
J573,Lathe,90,1.02,70,6.78
J574,Milling,35,2.31,23,5.63
J575,Additive,374,1.99,120,2.21
J576,Lathe,139,2.29,65,3.67
J577,Drilling,162,3.71,99,5.13
J578,Lathe,159,2.88,84,4.29
J579,Drilling,64,3.36,94,13.75
J580,Milling,28,3.96,28,9.13
J581,Additive,55,3.37,67,11.24
J582,Grinding,128,2.67,95,6.41
J583,Milling,39,4.15,56,13.47
J584,Additive,55,2.4,32,4.86
J585,Lathe,67,4.47,41,5.15
J586,Additive,80,4.59,88,10.05
J587,Additive,101,4.67,80,6.9
J588,Grinding,69,3.57,96,13.0
J589,Additive,42,4.06,54,11.89
J590,Lathe,246,1.72,110,3.47
J591,Additive,48,1.8,70,13.68
J592,Milling,91,2.89,69,6.62
J593,Grinding,120,3.12,87,6.22
J594,Drilling,64,2.22,84,12.13
J595,Lathe,24,4.3,26,9.83
J596,Additive,52,4.69,21,3.03
J597,Milling,53,3.02,64,11.0
J598,Additive,297,4.33,102,2.43
J599,Lathe,106,4.49,85,7.05
J600,Milling,54,4.72,63,10.66
J601,Milling,44,3.89,60,12.62
J602,Lathe,88,4.02,79,7.93
J603,Lathe,108,3.24,90,7.32
J604,Grinding,174,4.66,104,4.99
J605,Additive,24,1.43,25,9.27
J606,Grinding,83,3.62,103,11.35
J607,Milling,53,4.97,79,13.93
J608,Lathe,143,3.36,118,7.23
J609,Lathe,208,3.04,85,3.08
J610,Lathe,335,2.91,116,2.46
J611,Lathe,83,2.38,70,7.41
J612,Lathe,68,1.55,102,14.0
J613,Additive,94,4.02,66,6.01
J614,Lathe,115,4.24,77,5.71
J615,Milling,40,3.24,53,12.27
J616,Additive,63,1.45,45,6.11
J617,Drilling,55,2.09,66,11.05
J618,Lathe,65,3.83,94,13.39
J619,Grinding,90,1.04,114,11.61
J620,Additive,77,3.85,112,13.5
J621,Drilling,59,4.68,58,8.91
J622,Grinding,330,1.93,107,2.24
J623,Grinding,107,2.43,109,9.16
J624,Additive,19,1.92,29,14.55
J625,Drilling,55,3.36,70,11.67
J626,Drilling,141,3.13,52,2.68
J627,Grinding,164,3.22,72,3.4
J628,Drilling,152,1.5,119,6.85
J629,Milling,284,1.3,112,2.94
J630,Additive,54,4.02,39,6.18
J631,Lathe,289,4.54,105,2.63
J632,Grinding,35,2.1,51,13.64
J633,Milling,65,4.42,98,14.08
J634,Drilling,83,3.26,87,9.49
J635,Milling,116,1.54,103,7.9
J636,Milling,136,1.45,73,4.36
J637,Grinding,60,2.13,85,13.13
J638,Drilling,184,3.8,93,4.06
J639,Grinding,318,1.37,102,2.21
J640,Lathe,47,1.78,36,6.59
J641,Grinding,271,2.8,113,3.17
J642,Lathe,33,4.66,43,11.89
J643,Grinding,89,4.74,61,5.82
J644,Drilling,58,4.04,87,14.09
J645,Milling,53,2.32,50,8.42
J646,Additive,210,3.69,118,4.63
J647,Grinding,62,2.44,97,14.54
J648,Additive,47,1.71,56,11.0
J649,Additive,150,1.69,57,2.81
J650,Drilling,95,1.34,100,9.56
J651,Drilling,52,3.41,37,6.08
J652,Additive,56,2.29,25,3.47
J653,Drilling,15,1.59,21,12.56
J654,Drilling,133,2.03,59,3.42
J655,Milling,82,4.76,46,4.61
J656,Grinding,23,3.68,23,8.99
J657,Grinding,86,3.91,101,10.7
J658,Drilling,152,4.08,60,2.94
J659,Milling,40,1.18,61,14.09
J660,Milling,290,4.59,120,3.14
J661,Lathe,56,3.82,79,13.23
J662,Milling,59,1.73,30,4.05
J663,Lathe,107,1.83,112,9.51
J664,Additive,298,4.86,97,2.25
J665,Lathe,50,1.12,45,7.92
J666,Additive,178,2.92,71,2.99
J667,Milling,94,2.63,71,6.57
J668,Additive,23,3.36,29,11.77
J669,Additive,57,3.22,39,5.85
J670,Grinding,72,4.21,84,10.61
J671,Drilling,118,3.0,116,8.84
J672,Grinding,35,1.72,30,7.5
J673,Grinding,97,2.43,102,9.49
J674,Additive,126,4.68,99,6.84
J675,Grinding,49,3.67,25,4.14
J676,Milling,81,1.37,108,12.39
J677,Additive,98,4.61,111,10.3
J678,Additive,37,4.05,58,14.55
J679,Drilling,65,1.65,76,10.69
J680,Additive,20,3.12,24,11.09
J681,Grinding,56,4.08,67,11.06
J682,Milling,91,1.73,46,4.04
J683,Grinding,58,2.22,46,6.99
J684,Grinding,19,1.46,28,13.43
J685,Additive,71,4.39,81,10.4
J686,Milling,61,4.76,37,5.02
J687,Drilling,64,1.84,78,11.24
J688,Milling,73,4.75,62,7.47
J689,Lathe,36,1.17,25,5.92
J690,Lathe,34,3.73,40,10.82
J691,Milling,162,3.48,87,4.38
J692,Drilling,164,4.66,83,4.07
J693,Lathe,139,4.51,59,3.23
J694,Drilling,23,2.77,23,9.15
J695,Milling,82,3.71,80,8.73
J696,Lathe,122,1.81,114,8.34
J697,Grinding,86,2.08,74,7.6
J698,Milling,40,2.46,56,13.15
J699,Lathe,62,3.94,60,8.62
J700,Drilling,112,3.16,105,8.39
J701,Additive,162,2.37,114,6.02
J702,Lathe,28,3.85,45,14.9
J703,Additive,48,1.08,41,7.52
J704,Lathe,38,4.1,39,9.13
J705,Lathe,128,3.45,85,5.62
J706,Drilling,93,1.2,85,8.14
J707,Milling,57,4.77,41,6.24
J708,Lathe,128,4.73,94,6.32
J709,Lathe,57,4.37,81,13.22
J710,Grinding,58,1.76,77,12.33
